n,k,model,status,blocks,qubits,toffolis,joint_measure,measure,automorphism,cross_module,relay_hops,analytic_total_error,total_error,p_fail
215,3,gross_1e-4,analytic,72,792,427,2125,7749,5124,248,2125,0.00011003961205359999,0.00011003961205359999,0.00011003355791761038
215,4,gross_1e-3,analytic,54,594,427,1826,7203,5124,213,1826,3.7543227480000003,3.7543227480000003,0.9765836960210558
215,4,gross_1e-4,analytic,54,594,427,1826,7203,5124,213,1826,9.51062520536e-05,9.51062520536e-05,9.510172959736884e-05
215,5,gross_1e-3,analytic,43,473,427,1728,6982,5124,181,1728,3.5548896479999996,3.5548896479999996,0.9714154708978019
215,5,gross_1e-4,analytic,43,473,427,1728,6982,5124,181,1728,9.016924205359999e-05,9.016924205359999e-05,9.016517692972403e-05
225,3,gross_1e-3,analytic,75,825,447,2110,7884,5364,258,2110,4.332914328,4.332914328,0.9868707711985273
225,3,gross_1e-4,analytic,75,825,447,2110,7884,5364,258,2110,0.0001094544911896,0.0001094544911896,0.00010944850126537453
225,4,gross_1e-3,analytic,57,627,447,1879,7395,5364,223,1879,3.863176428,3.863176428,0.9789988152881506
225,4,gross_1e-4,analytic,57,627,447,1879,7395,5364,223,1879,9.784950118960001e-05,9.784950118960001e-05,9.784471408325057e-05
225,5,gross_1e-3,analytic,45,495,447,1820,7330,5364,191,1820,3.7438649280000003,3.7438649280000003,0.976337527579889
225,5,gross_1e-4,analytic,45,495,447,1820,7330,5364,191,1820,9.49459511896e-05,9.49459511896e-05,9.494144396537951e-05
235,3,gross_1e-3,analytic,79,869,467,2138,8088,5604,273,2138,4.391651208000001,4.391651208000001,0.9876197300669333
235,3,gross_1e-4,analytic,79,869,467,2138,8088,5604,273,2138,0.00011100736032560001,0.00011100736032560001,0.00011100119923657115
235,4,gross_1e-3,analytic,59,649,467,1999,7889,5604,233,1999,4.110052308,4.110052308,0.9835930837091308
235,4,gross_1e-4,analytic,59,649,467,1999,7889,5604,233,1999,0.0001041204703256,0.0001041204703256,0.00010411504997753784
235,5,gross_1e-3,analytic,47,517,467,1948,7751,5604,197,1948,4.006010508,4.006010508,0.9817941172298946
235,5,gross_1e-4,analytic,47,517,467,1948,7751,5604,197,1948,0.0001015279903256,0.0001015279903256,0.00010152283653364069
245,3,gross_1e-3,analytic,82,902,487,2238,8449,5844,285,2238,4.596850788,4.596850788,0.9899164589965298
245,3,gross_1e-4,analytic,82,902,487,2238,8449,5844,285,2238,0.0001161819994616,0.0001161819994616,0.00011617525059448575
245,4,gross_1e-3,analytic,62,682,487,2103,8213,5844,241,2103,4.322881188,4.322881188,0.9867383807726073
245,4,gross_1e-4,analytic,62,682,487,2103,8213,5844,241,2103,0.00010945013946159999,0.00010945013946159999,0.00010944415001357122
245,5,gross_1e-3,analytic,49,539,487,2014,8059,5844,207,2014,4.142281788,4.142281788,0.9841134396468743
245,5,gross_1e-4,analytic,49,539,487,2014,8059,5844,207,2014,0.0001050136994616,0.0001050136994616,0.00010500818571601567
255,3,gross_1e-3,analytic,85,935,507,2404,8962,6084,293,2404,4.936397568,4.936397568,0.992819581193306
255,3,gross_1e-4,analytic,85,935,507,2404,8962,6084,293,2404,0.0001246847585976,0.0001246847585976,0.00012467698577611763
255,4,gross_1e-3,analytic,64,704,507,2249,8729,6084,251,2249,4.622261268000001,4.622261268000001,0.9901694585799196
255,4,gross_1e-4,analytic,64,704,507,2249,8729,6084,251,2249,0.0001169939285976,0.0001169939285976,0.00011698708507479338
255,5,gross_1e-3,analytic,51,561,507,1969,8129,6084,215,1969,4.052801268,4.052801268,0.9826263618072737
255,5,gross_1e-4,analytic,51,561,507,1969,8129,6084,215,1969,0.0001029199285976,0.0001029199285976,0.00010291463252343203
265,3,gross_1e-3,analytic,89,979,527,2463,9231,6324,305,2463,5.058165948,5.058165948,0.99364279172202
265,3,gross_1e-4,analytic,89,979,527,2463,9231,6324,305,2463,0.00012779437773360002,0.00012779437773360002,0.00012778621237996557
265,4,gross_1e-3,analytic,67,737,527,2341,8963,6324,261,2341,4.809971148000001,4.809971148000001,0.9918519052168807
265,4,gross_1e-4,analytic,67,737,527,2341,8963,6324,261,2341,0.0001216554977336,0.0001216554977336,0.00012164809800363496
265,5,gross_1e-3,analytic,53,583,527,2167,8695,6324,225,2167,4.457256348,4.457256348,0.9884058700529709
265,5,gross_1e-4,analytic,53,583,527,2167,8695,6324,225,2167,0.00011301541773359999,0.00011301541773359999,0.00011300903173183663
275,3,gross_1e-3,analytic,92,1012,547,2702,9886,6564,317,2702,5.5460189280000005,5.5460189280000005,0.9960970356623925
275,3,gross_1e-4,analytic,92,1012,547,2702,9886,6564,317,2702,0.00013995185686960002,0.00013995185686960002,0.00013994206406531262
275,4,gross_1e-3,analytic,69,759,547,2440,9443,6564,271,2440,5.0144816279999995,5.0144816279999995,0.9933589263082423
275,4,gross_1e-4,analytic,69,759,547,2440,9443,6564,271,2440,0.0001269022268696,0.0001269022268696,0.00012689417512257162
275,5,gross_1e-3,analytic,55,605,547,2326,9172,6564,231,2326,4.782333528,4.782333528,0.9916235704893691
275,5,gross_1e-4,analytic,55,605,547,2326,9172,6564,231,2326,0.00012114511686960001,0.00012114511686960001,0.00012113777909628087
285,3,gross_1e-3,analytic,95,1045,567,2704,10043,6804,329,2704,5.551974108,5.551974108,0.9961202094470405
285,3,gross_1e-4,analytic,95,1045,567,2704,10043,6804,329,2704,0.00014020665600559997,0.00014020665600559997,0.00014019682751176266
285,4,gross_1e-3,analytic,72,792,567,2478,9623,6804,281,2478,5.093052108,5.093052108,0.9938607464016549
285,4,gross_1e-4,analytic,72,792,567,2478,9623,6804,281,2478,0.0001289118560056,0.0001289118560056,0.00012890354722927544
285,5,gross_1e-3,analytic,57,627,567,2425,9547,6804,241,2425,4.9856785079999995,4.9856785079999995,0.993164861242581
285,5,gross_1e-4,analytic,57,627,567,2425,9547,6804,241,2425,0.0001262857960056,0.0001262857960056,0.00012627782229013285
295,3,gross_1e-3,analytic,99,1089,587,2866,10532,7044,340,2866,5.883214488,5.883214488,0.9972141841049867
295,3,gross_1e-4,analytic,99,1089,587,2866,10532,7044,340,2866,0.0001484927751416,0.0001484927751416,0.00014848175063519875
295,4,gross_1e-3,analytic,74,814,587,2493,9879,7044,291,2493,5.126236188,5.126236188,0.9940611287445529
295,4,gross_1e-4,analytic,74,814,587,2493,9879,7044,291,2493,0.0001298919451416,0.0001298919451416,0.00012988350954812322
295,5,gross_1e-3,analytic,59,649,587,2372,9594,7044,249,2372,4.879862687999999,4.879862687999999,0.9924019427396097
295,5,gross_1e-4,analytic,59,649,587,2372,9594,7044,249,2372,0.00012378399514160001,0.00012378399514160001,0.0001237763342190057
305,3,gross_1e-3,analytic,102,1122,607,2983,10937,7284,353,2983,6.123072467999999,6.123072467999999,0.9978082883563949
305,3,gross_1e-4,analytic,102,1122,607,2983,10937,7284,353,2983,0.0001545295542776,0.0001545295542776,0.00015451761520102192
305,4,gross_1e-3,analytic,77,847,607,2627,10187,7284,303,2627,5.399187467999999,5.399187467999999,0.995479747699495
305,4,gross_1e-4,analytic,77,847,607,2627,10187,7284,303,2627,0.0001366484542776,0.0001366484542776,0.00013663911830286146
305,5,gross_1e-3,analytic,61,671,607,2500,10020,7284,259,2500,5.142063768,5.142063768,0.9941543867334702
305,5,gross_1e-4,analytic,61,671,607,2500,10020,7284,259,2500,0.0001303710842776,0.0001303710842776,0.00013036258633714048
315,3,gross_1e-3,analytic,105,1155,627,2875,10867,7524,365,2875,5.905407948000001,5.905407948000001,0.997275329969708
315,3,gross_1e-4,analytic,105,1155,627,2875,10867,7524,365,2875,0.00014926408341359997,0.00014926408341359997,0.0001492529440845214
315,4,gross_1e-3,analytic,79,869,627,2772,10775,7524,313,2772,5.697356748,5.697356748,0.9966451786135716
315,4,gross_1e-4,analytic,79,869,627,2772,10775,7524,313,2772,0.0001442168634136,0.0001442168634136,0.00014420646466162257
315,5,gross_1e-3,analytic,63,693,627,2617,10423,7524,264,2617,5.381899548,5.381899548,0.9954009225410381
315,5,gross_1e-4,analytic,63,693,627,2617,10423,7524,264,2617,0.0001364058434136,0.0001364058434136,0.00013639654055952466
325,3,gross_1e-3,analytic,109,1199,647,3285,11875,7764,375,3285,6.7408892279999995,6.7408892279999995,0.9988184040189136
325,3,gross_1e-4,analytic,109,1199,647,3285,11875,7764,375,3285,0.0001700031925496,0.0001700031925496,0.00016998874282569965
325,4,gross_1e-3,analytic,82,902,647,2730,10787,7764,321,2730,5.613262428,5.613262428,0.9963508551554423
325,4,gross_1e-4,analytic,82,902,647,2730,10787,7764,321,2730,0.0001422088125496,0.0001422088125496,0.00014219870135567803
325,5,gross_1e-3,analytic,65,715,647,2737,10831,7764,275,2737,5.627820828,5.627820828,0.9964035960229057
325,5,gross_1e-4,analytic,65,715,647,2737,10831,7764,275,2737,0.0001425899525496,0.0001425899525496,0.00014257978708553942
335,3,gross_1e-3,analytic,112,1232,667,3305,12049,8004,387,3305,6.783213108,6.783213108,0.9988673702164365
335,3,gross_1e-4,analytic,112,1232,667,3305,12049,8004,387,3305,0.00017114096168560001,0.00017114096168560001,0.00017112631790661137
335,4,gross_1e-3,analytic,84,924,667,3003,11578,8004,331,3003,6.170965008,6.170965008,0.9979107810855466
335,4,gross_1e-4,analytic,84,924,667,3003,11578,8004,331,3003,0.00015613905168560002,0.00015613905168560002,0.00015612686261823328
335,5,gross_1e-3,analytic,67,737,667,2754,11029,8004,283,2754,5.664381108,5.664381108,0.9965327070112846
335,5,gross_1e-4,analytic,67,737,667,2754,11029,8004,283,2754,0.0001436076616856,0.0001436076616856,0.0001435973505989896
345,3,gross_1e-3,analytic,115,1265,687,3309,12237,8244,399,3309,6.793532387999999,6.793532387999999,0.9988789980417322
345,3,gross_1e-4,analytic,115,1265,687,3309,12237,8244,399,3309,0.00017152327082159999,0.00017152327082159999,0.00017150856154635186
345,4,gross_1e-3,analytic,87,957,687,3043,11663,8244,341,3043,6.2525009879999995,6.2525009879999995,0.9980743678739933
345,4,gross_1e-4,analytic,87,957,687,3043,11663,8244,341,3043,0.0001581489308216,0.0001581489308216,0.00015813642593864863
345,5,gross_1e-3,analytic,69,759,687,2852,11384,8244,293,2852,5.865494087999999,5.865494087999999,0.9971643783473227
345,5,gross_1e-4,analytic,69,759,687,2852,11384,8244,293,2852,0.0001486800408216,0.0001486800408216,0.00014866898849208443
355,3,gross_1e-3,analytic,119,1309,707,3520,12821,8484,409,3520,7.224317268000001,7.224317268000001,0.9992713501581283
355,3,gross_1e-4,analytic,119,1309,707,3520,12821,8484,409,3520,0.0001822622399576,0.0001822622399576,0.0001822456312046139
355,4,gross_1e-3,analytic,89,979,707,3050,12005,8484,349,3050,6.270559668000001,6.270559668000001,0.9981088301402823
355,4,gross_1e-4,analytic,89,979,707,3050,12005,8484,349,3050,0.00015883107995760001,0.00015883107995760001,0.0001588184669694126
355,5,gross_1e-3,analytic,71,781,707,2993,11837,8484,299,2993,6.154124868,6.154124868,0.9978753004354728
355,5,gross_1e-4,analytic,71,781,707,2993,11837,8484,299,2993,0.00015591969995760001,0.00015591969995760001,0.00015590754511296545
365,3,gross_1e-3,analytic,122,1342,727,3524,12984,8724,425,3524,7.234359048,7.234359048,0.9992786304846415
365,3,gross_1e-4,analytic,122,1342,727,3524,12984,8724,425,3524,0.00018261929909360003,0.00018261929909360003,0.00018260262520441994
365,4,gross_1e-3,analytic,92,1012,727,3143,12273,8724,363,3143,6.4606569480000005,6.4606569480000005,0.9984362319414243
